"country_f","year_f","flu_cases","country_d","year_d","dengue_cases","country_g","year_g","infant_mortality","life_expectancy","fertility","population","gdp","continent","region"
Netherlands,"2009",3062.0,,,,Netherlands,"2009",3.8,80.6,1.79,16575173,433855151011,Europe,Western Europe
Netherlands,"2010",1145.0,,,,Netherlands,"2010",3.7,80.8,1.8,16631571,441185443862,Europe,Western Europe
Netherlands,"2011",1627.0,,,,Netherlands,"2011",3.6,80.9,1.76,16689863,446362217923,Europe,Western Europe
Netherlands,"2012",2023.0,,,,Netherlands,"2012",3.5,81.0,1.76,16749318,,Europe,Western Europe
Netherlands,"2013",2721.0,,,,Netherlands,"2013",3.3,81.2,1.77,16809157,,Europe,Western Europe
Netherlands,"2014",1680.0,,,,Netherlands,"2014",3.3,81.3,1.78,16868020,,Europe,Western Europe
Netherlands,"2015",1666.0,,,,Netherlands,"2015",3.2,81.3,1.78,16924929,,Europe,Western Europe
New Zealand,"2002",,,,,New Zealand,"2002",5.8,78.9,1.95,3961695.0,56077241190,Oceania,Australia and New Zealand
New Zealand,"2003",,,,,New Zealand,"2003",5.7,79.1,1.98,4020195.0,58513885619,Oceania,Australia and New Zealand
New Zealand,"2004",,,,,New Zealand,"2004",5.5,79.4,2.02,4078779.0,60712724763,Oceania,Australia and New Zealand
New Zealand,"2005",,,,,New Zealand,"2005",5.4,79.8,2.05,4134699.0,62717853637,Oceania,Australia and New Zealand
New Zealand,"2006",1492.0,,,,New Zealand,"2006",5.3,79.9,2.09,4187584.0,63200977861,Oceania,Australia and New Zealand
New Zealand,"2007",1398.0,,,,New Zealand,"2007",5.3,80.1,2.11,4238021.0,65084119224,Oceania,Australia and New Zealand
New Zealand,"2008",1883.0,,,,New Zealand,"2008",5.3,80.3,2.12,4285380.0,64081242758,Oceania,Australia and New Zealand
New Zealand,"2009",2644.0,,,,New Zealand,"2009",5.2,80.5,2.13,4329124.0,63779599884,Oceania,Australia and New Zealand
New Zealand,"2010",1742.0,,,,New Zealand,"2010",5.1,80.8,2.12,4369027.0,64991412282,Oceania,Australia and New Zealand
New Zealand,"2011",1674.0,,,,New Zealand,"2011",5.0,80.8,2.1,4404483.0,,Oceania,Australia and New Zealand
New Zealand,"2012",2373.0,,,,New Zealand,"2012",4.9,81.1,2.07,4435883.0,,Oceania,Australia and New Zealand
New Zealand,"2013",2260.0,,,,New Zealand,"2013",4.9,81.4,2.05,4465276.0,,Oceania,Australia and New Zealand
New Zealand,"2014",3322.0,,,,New Zealand,"2014",4.8,81.4,2.03,4495482.0,,Oceania,Australia and New Zealand
New Zealand,"2015",807.0,,,,New Zealand,"2015",4.7,81.4,2.02,4528526.0,,Oceania,Australia and New Zealand
Norway,"2002",,,,,Norway,"2002",3.6,79.1,1.75,4537240.0,174215767564,Europe,Northern Europe
Norway,"2003",,,,,Norway,"2003",3.5,79.5,1.8,4560947.0,175929063478,Europe,Northern Europe
Norway,"2004",,,,,Norway,"2004",3.4,79.8,1.83,4589241.0,182897667361,Europe,Northern Europe
Norway,"2005",1904.0,,,,Norway,"2005",3.2,80.2,1.84,4624388.0,187632770146,Europe,Northern Europe
Norway,"2006",1474.0,,,,Norway,"2006",3.1,80.4,1.9,4667105.0,192233391607,Europe,Northern Europe
Norway,"2007",2231.0,,,,Norway,"2007",3.0,80.6,1.9,4716584.0,197333337247,Europe,Northern Europe
Norway,"2008",2271.0,,,,Norway,"2008",2.9,80.8,1.96,4771633.0,197402589382,Europe,Northern Europe
Norway,"2009",6877.0,,,,Norway,"2009",2.7,80.8,1.98,4830371.0,194111628292,Europe,Northern Europe
Norway,"2010",3338.0,,,,Norway,"2010",2.6,81.1,1.95,4891251.0,195424832685,Europe,Northern Europe
Norway,"2011",4852.0,,,,Norway,"2011",2.5,81.1,1.88,4953945.0,198252580322,Europe,Northern Europe
Norway,"2012",4606.0,,,,Norway,"2012",2.3,81.6,1.85,5018367.0,,Europe,Northern Europe
Norway,"2013",4654.0,,,,Norway,"2013",2.3,81.6,1.93,5083450.0,,Europe,Northern Europe
Norway,"2014",4072.0,,,,Norway,"2014",2.2,82.0,1.93,5147970.0,,Europe,Northern Europe
Norway,"2015",4094.0,,,,Norway,"2015",2.0,82.0,1.93,5210967.0,,Europe,Northern Europe
Paraguay,"2002",,,,,Paraguay,"2002",26.1,74.1,3.51,5508615.0,7213731474,Americas,South America
